0.75,0.0
0.8,0.0
0.85,0.0
0.9,0.0
0.95,0.0
1,14.8148148148
1.05,14.8148148148
1.1,18.5185185185
1.15,37.037037037
1.2,59.2592592593
1.25,88.8888888889
1.3,88.8888888889
1.35,96.2962962963
1.4,100.0
1.45,100.0
1.5,100.0
1.55,100.0
1.6,100.0
1.65,100.0
1.7,100.0
1.75,100.0
1.8,100.0
1.85,100.0
1.9,100.0
1.95,100.0
2,100.0
2.05,100.0
2.1,100.0
2.15,100.0
2.2,100.0
2.25,100.0
2.3,100.0
2.35,100.0
2.4,100.0
2.45,100.0
2.5,100.0
2.55,100.0
2.6,100.0
2.65,100.0
2.7,100.0
2.75,100.0
2.8,100.0
2.85,100.0
2.9,100.0
2.95,100.0
3.0,100.0
3.05,100.0
3.1,100.0
3.15,100.0
3.2,100.0
3.25,100.0
3.3,100.0
3.35,100.0
3.4,100.0
3.45,100.0
3.5,100.0
3.55,100.0
3.6,100.0
3.65,100.0
3.7,100.0
3.75,100.0
3.8,100.0
3.85,100.0
3.9,100.0
3.95,100.0
4.0,100.0
4.05,100.0
4.1,100.0
4.15,100.0
4.2,100.0
2.25,100.0
4.3,100.0
4.35,100.0
4.4,100.0
4.45,100.0
4.5,100.0
